category,rank,player_name,team_display,position,season,games_played,pass_yards,pass_tds,interceptions,completions,pass_attempts,rush_yards,rush_tds,rush_attempts,rec_yards,rec_tds,receptions,tackles,assisted_tackles,sacks,def_interceptions,pass_deflections,forced_fumbles
passing,1,Tom Brady,NE,QB,,335,89216,650,212,7754,12052,1123,28,693,65,0,3,0,0,0,0,0,0
passing,2,Drew Brees,LAC,QB,,287,80428,571,243,7149,10558,752,25,498,74,1,8,0,0,0,0,0,0
passing,3,Ben Roethlisberger,PIT,QB,,249,64128,418,211,5444,8447,1370,20,516,-1,0,1,0,0,0,0,0,0
passing,4,Peyton Manning,DEN,QB,,234,64041,487,207,5464,8265,522,16,378,-2,0,1,0,0,0,0,0,0
passing,5,Philip Rivers,IND,QB,,244,63434,421,209,5277,8134,605,3,383,0,0,0,0,0,0,0,0,0
passing,6,Aaron Rodgers,GB,QB,,248,62945,503,116,5368,8244,3561,35,742,-11,0,3,0,0,0,0,0,0
passing,7,Matt Ryan,IND,QB,,234,62792,381,183,5551,8464,1539,13,514,5,1,1,0,0,0,0,0,0
passing,8,Matthew Stafford,LAR,QB,,222,59871,377,188,5181,8176,1356,15,442,-3,0,2,0,0,0,0,0,0
passing,9,Eli Manning,NYG,QB,,235,57023,367,244,4895,8119,567,7,317,0,0,0,0,0,0,0,0,0
passing,10,Carson Palmer,ARI,QB,,182,46252,294,187,3942,6308,475,8,300,0,0,0,0,0,0,0,0,0
passing,11,Russell Wilson,DEN,QB,,199,46135,350,111,3882,6001,5462,31,1024,21,1,5,0,0,0,0,0,0
passing,12,Joe Flacco,BAL,QB,,195,45697,257,162,4166,6751,897,16,385,35,0,2,0,0,0,0,0,0
passing,13,Kirk Cousins,ATL,QB,,164,42979,288,126,3768,5630,958,19,327,-1,0,1,0,0,0,0,0,0
passing,14,Derek Carr,LV,QB,,169,41245,257,112,3765,5785,956,7,327,-9,0,1,0,0,0,0,0,0
passing,15,Brett Favre,GB,QB,,173,40896,273,195,3638,5816,448,3,241,-2,0,1,0,0,0,0,0,0
passing,16,Andy Dalton,NO,QB,,174,39500,253,150,3514,5614,1511,22,482,11,1,3,0,0,0,0,0,0
passing,17,Matt Hasselbeck,GB,QB,,178,36601,211,154,3219,5321,1228,8,360,0,0,0,0,0,0,0,0,0
passing,18,Donovan McNabb,PHI,QB,,154,36253,227,108,3062,5153,3150,29,564,-1,0,4,0,0,0,0,0,0
passing,19,Alex Smith,TB,TE,,211,35661,199,108,3252,5194,2608,15,577,1466,13,166,0,0,0,0,0,0
passing,20,Jay Cutler,DEN,QB,,153,35132,227,160,3048,4920,1681,9,387,0,0,0,0,0,0,0,0,0
passing,21,Jared Goff,LAR,QB,,134,35058,222,94,3047,4646,551,12,276,12,1,2,0,0,0,0,0,0
passing,22,Ryan Fitzpatrick,BUF,QB,,164,34982,223,169,3072,5060,2625,21,574,-3,0,3,0,0,0,0,0,0
passing,23,Ryan Tannehill,TEN,QB,,154,34881,219,115,3063,4764,2103,27,440,8,1,4,0,0,0,0,0,0
passing,24,Tony Romo,DAL,QB,,132,34183,248,117,2829,4336,623,5,235,-1,0,1,0,0,0,0,0,0
passing,25,Cam Newton,CAR,QB,,147,32382,194,123,2682,4474,5628,75,1118,62,1,3,0,0,0,0,0,0
passing,26,Patrick Mahomes,KC,QB,,112,32352,245,74,2778,4171,2243,14,432,8,0,2,0,0,0,0,0,0
passing,27,Dak Prescott,DAL,QB,,122,31437,213,82,2780,4159,1938,29,420,11,1,1,0,0,0,0,0,0
passing,28,Kerry Collins,TEN,QB,,135,29067,149,121,2508,4395,318,3,228,-2,0,1,0,0,0,0,0,0
passing,29,Kurt Warner,ARI,QB,,107,27902,168,115,2337,3560,194,2,150,0,0,1,0,0,0,0,0,0
passing,30,Josh Allen,BUF,QB,,110,26404,195,84,2295,3627,4142,65,759,12,1,1,0,0,0,0,0,0
passing,31,Matt Schaub,HOU,QB,,123,25466,136,91,2148,3348,357,4,195,-13,0,2,0,0,0,0,0,0
passing,32,Trent Green,MIA,QB,,104,24976,139,103,1985,3226,797,4,201,1,0,1,0,0,0,0,0,0
passing,33,Baker Mayfield,LAR,QB,,106,24888,172,90,2158,3396,1201,10,311,6,0,1,0,0,0,0,0,0
passing,34,Jon Kitna,CIN,QB,,116,24848,138,140,2276,3727,812,9,249,9,0,1,0,0,0,0,0,0
passing,35,Jameis Winston,CLE,QB,,102,24225,154,111,1944,3178,1297,12,323,0,0,0,0,0,0,0,0,0
