first_name,last_name,position,position_label,team_abbreviation,age,overall_rating,dev_trait,speed,strength,awareness,throw_accuracy,throw_power,catching,route_running,tackle_rating,coverage,pass_rush,kickpower,kickaccuracy,runblocking,passblocking,annual_salary,years_remaining
Aaron,Rodgers,QB,QB,PIT,41,76,Normal,77,59,77,84,90,47,14,19,16,18,15,18,23,12,22.5,1
Nick,Folk,K,K,NYJ,40,79,Normal,67,59,68,30,55,40,10,25,18,24,91,88,15,15,4.5,1
Joe,Flacco,QB,QB,CLE,40,71,Normal,75,66,73,82,89,31,10,29,18,21,25,24,15,15,6.0,1
Calais,Campbell,DL,DL,ARI,39,82,Normal,72,89,82,6,35,41,6,81,24,82,30,30,45,45,5.5,1
Josh,Johnson,QB,QB,WAS,39,59,Normal,80,53,61,71,84,54,26,30,18,16,25,25,15,15,1.5,1
Matthew,Stafford,QB,QB,LAR,37,88,Superstar,78,66,91,90,94,26,14,28,16,20,28,25,22,25,,
Graham,Gano,K,K,NYG,38,77,Normal,75,63,63,30,27,35,10,34,12,14,96,82,12,17,,
Trent,Williams,OL,OL,SF,37,97,Star,77,95,98,6,12,20,10,39,12,46,11,10,97,92,25.0,1
Cameron,Jordan,DL,DL,NO,36,79,Normal,77,87,85,6,30,42,10,86,36,86,33,29,45,45,7.5,1
Cameron,Heyward,DL,DL,PIT,36,94,X-Factor,75,94,94,6,21,48,6,94,27,90,12,11,45,45,18.0,1
Andy,Dalton,QB,QB,CAR,37,70,Normal,74,54,70,82,87,55,20,15,12,18,12,19,14,13,3.5,1
Tyrod,Taylor,QB,QB,NYJ,36,69,Normal,86,57,66,79,87,63,25,37,22,24,19,17,20,23,2.5,1
Nick,Bellore,LB,LB,WAS,36,69,Normal,85,80,71,6,25,61,42,83,64,74,20,16,63,66,2.1,1
Case,Keenum,QB,QB,CHI,37,63,Normal,77,54,63,78,85,33,10,14,11,18,22,24,17,21,2.75,1
Bobby,Wagner,LB,LB,WAS,35,91,Superstar,84,78,97,6,25,75,10,98,62,92,20,20,45,45,,
Russell,Wilson,QB,QB,NYG,36,76,Normal,84,59,73,85,90,68,21,26,14,30,10,19,45,10,,
Kelvin,Beachum,OL,OL,ARI,36,73,Normal,63,87,88,6,12,42,8,45,20,28,12,17,74,79,,
Lavonte,David,LB,LB,TB,35,88,Superstar,86,76,97,6,15,76,10,89,70,88,14,12,45,45,,
Kevin,Zeitler,OL,OL,TEN,35,91,X-Factor,73,91,98,6,12,15,10,25,14,20,18,16,81,90,,
Kirk,Cousins,QB,QB,ATL,37,73,Normal,69,52,71,84,86,22,14,38,12,32,12,19,14,13,11.3,1
Demario,Davis,LB,LB,NO,36,90,X-Factor,88,85,96,6,25,63,10,91,72,91,26,20,45,45,11.0,1
Greg,Van Roten,OL,OL,NYG,35,76,Normal,67,84,86,6,17,36,21,45,12,24,20,20,79,77,,
Brandon,McManus,K,K,GB,34,77,Normal,76,56,66,21,38,35,15,24,16,32,96,78,15,17,,
Adam,Thielen,WR,WR,CAR,35,80,Normal,88,67,83,38,50,90,78,32,13,22,34,35,52,35,,
Zach,Ertz,TE,TE,WAS,34,78,Normal,82,74,90,10,42,87,68,36,18,24,22,22,55,62,,
Johnathan,Hankins,DL,DL,SEA,33,75,Normal,73,90,87,6,10,30,6,82,24,72,11,10,45,45,,
John,Jenkins,DL,DL,BAL,36,74,Normal,71,90,75,6,25,30,9,88,12,78,23,17,45,45,2.0,1
David,Quessenberry,OL,OL,LAR,35,68,Normal,68,85,83,6,30,62,30,41,14,24,22,21,74,68,1.49,1
Dustin,Hopkins,K,K,CLE,34,71,Normal,73,61,58,30,43,35,10,28,15,20,93,74,20,20,,
Robert,Woods,WR,WR,PIT,33,75,Normal,89,63,79,24,34,84,78,39,20,28,25,22,59,45,,
Travis,Kelce,TE,TE,KC,35,93,X-Factor,82,79,96,55,70,95,78,45,13,28,35,32,65,64,12.0,1
Lane,Johnson,OL,OL,PHI,35,99,Star,77,93,99,54,65,64,36,60,16,58,25,22,97,98,25.0,1
DeAndre,Hopkins,WR,WR,BAL,33,82,Normal,89,75,80,12,35,90,82,52,34,32,20,20,54,44,,
Geno,Smith,QB,QB,LV,34,80,Normal,87,58,81,87,88,57,20,38,22,21,20,15,20,24,3.3,1
Mike,Pennel,DL,DL,KC,34,71,Normal,67,85,71,6,20,32,9,84,18,76,15,16,45,45,,
Khalil,Mack,DL,DL,LAC,34,87,Star,85,87,87,6,32,62,10,86,54,88,24,22,45,45,18.0,1
DaQuan,Jones,DL,DL,BUF,33,79,Star,70,88,89,6,16,24,10,82,30,80,7,17,45,45,,
Chris,Boswell,K,K,PIT,34,85,Star,73,44,74,32,29,29,10,35,12,12,95,93,24,16,7.0,3
Cairo,Santos,K,K,CHI,33,78,Normal,72,33,65,21,26,25,15,22,17,34,94,85,17,17,3.9,3
Brandin,Cooks,WR,WR,NO,31,79,Star,93,54,79,10,34,88,80,25,22,24,21,20,50,32,,
Denico,Autry,DL,DL,HOU,35,76,Normal,74,86,85,6,14,35,10,82,26,81,17,11,45,45,,
