category,rank,player_name,team_display,position,season,games_played,pass_yards,pass_tds,interceptions,completions,pass_attempts,rush_yards,rush_tds,rush_attempts,rec_yards,rec_tds,receptions,tackles,assisted_tackles,sacks,def_interceptions,pass_deflections,forced_fumbles
passing,1,Drew Brees,NO,QB,2011,16,5535,46,14,471,660,86,1,21,0,0,0,0,0,0,0,0,0
passing,2,Peyton Manning,DEN,QB,2013,16,5477,55,10,450,659,-31,1,32,0,0,0,0,0,0,0,0,0
passing,3,Tom Brady,TB,QB,2021,17,5316,43,12,485,719,81,2,28,0,0,0,0,0,0,0,0,0
passing,4,Patrick Mahomes,KC,QB,2022,17,5250,41,12,435,648,358,4,61,6,0,1,0,0,0,0,0,0
passing,5,Ben Roethlisberger,PIT,QB,2018,16,5129,34,16,452,675,98,3,31,-1,0,1,0,0,0,0,0,0
passing,6,Jameis Winston,TB,QB,2019,16,5109,33,30,380,626,250,1,59,0,0,0,0,0,0,0,0,0
passing,7,Matthew Stafford,DET,QB,2011,16,5100,41,16,428,673,78,0,22,0,0,0,0,0,0,0,0,0
passing,8,Justin Herbert,LAC,QB,2021,17,5014,38,15,443,672,302,3,63,0,0,0,0,0,0,0,0,0
passing,9,Matt Ryan,ATL,QB,2016,16,4944,38,7,373,534,117,0,35,0,0,0,0,0,0,0,0,0
passing,10,Eli Manning,NYG,QB,2011,16,4933,29,16,359,589,15,1,35,0,0,0,0,0,0,0,0,0
passing,11,Joe Burrow,CIN,QB,2024,17,4918,43,9,460,652,201,2,42,0,0,0,0,0,0,0,0,0
passing,12,Kirk Cousins,WAS,QB,2016,16,4917,25,12,406,606,96,4,34,0,0,0,0,0,0,0,0,0
passing,13,Tony Romo,DAL,QB,2012,16,4903,28,19,425,648,49,1,30,-1,0,1,0,0,0,0,0,0
passing,14,Dak Prescott,DAL,QB,2019,16,4902,30,11,388,596,277,3,52,0,0,0,0,0,0,0,0,0
passing,15,Kurt Warner,LAR,QB,2001,16,4830,36,22,375,546,60,0,28,0,0,0,0,0,0,0,0,0
passing,16,Deshaun Watson,HOU,QB,2020,16,4823,33,7,382,544,444,3,90,0,0,0,0,0,0,0,0,0
passing,17,Derek Carr,LV,QB,2021,17,4804,23,14,428,626,108,0,40,0,0,0,0,0,0,0,0,0
passing,18,Philip Rivers,LAC,QB,2015,16,4792,29,13,437,661,28,0,17,0,0,0,0,0,0,0,0,0
passing,19,Matt Schaub,HOU,QB,2009,16,4770,29,15,396,583,61,0,47,0,0,0,0,0,0,0,0,0
passing,20,Andrew Luck,IND,QB,2014,16,4761,40,16,380,616,273,3,64,0,0,0,0,0,0,0,0,0
passing,21,Daunte Culpepper,MIN,QB,2004,16,4717,39,11,379,548,406,2,89,0,0,0,0,0,0,0,0,0
passing,22,Rich Gannon,LV,QB,2002,16,4689,26,10,418,618,156,3,50,0,0,0,0,0,0,0,0,0
passing,23,Jared Goff,LAR,QB,2018,16,4688,32,12,364,561,108,2,43,0,0,0,0,0,0,0,0,0
passing,24,Carson Palmer,ARI,QB,2015,16,4671,35,11,342,537,24,1,25,0,0,0,0,0,0,0,0,0
passing,25,Aaron Rodgers,GB,QB,2011,15,4636,45,6,342,501,257,3,60,0,0,0,0,0,0,0,0,0
passing,26,Tua Tagovailoa,MIA,QB,2023,17,4624,29,14,388,560,74,0,35,0,0,0,0,0,0,0,0,0
passing,27,Trent Green,KC,QB,2004,16,4589,27,17,369,556,85,0,25,0,0,0,0,0,0,0,0,0
passing,28,Josh Allen,BUF,QB,2020,16,4544,37,10,396,572,421,8,102,12,1,1,0,0,0,0,0,0
passing,29,Jay Cutler,DEN,QB,2008,16,4525,25,18,384,616,200,2,57,0,0,0,0,0,0,0,0,0
passing,30,Baker Mayfield,TB,QB,2024,17,4500,41,16,407,570,378,3,60,0,0,0,0,0,0,0,0,0
passing,31,Blake Bortles,JAX,QB,2015,16,4428,35,18,355,606,310,2,52,0,0,0,0,0,0,0,0,0
passing,32,Drew Bledsoe,BUF,QB,2002,16,4359,24,15,375,610,67,2,27,0,0,0,0,0,0,0,0,0
passing,33,Geno Smith,SEA,QB,2024,17,4320,21,15,407,578,272,2,53,0,0,0,0,0,0,0,0,0
passing,34,Sam Darnold,MIN,QB,2024,17,4319,35,12,361,545,212,1,67,0,0,0,0,0,0,0,0,0
passing,35,Joe Flacco,BAL,QB,2016,16,4317,20,15,436,672,58,2,21,0,0,0,0,0,0,0,0,0
passing,36,Marc Bulger,LAR,QB,2006,16,4301,24,8,370,588,44,0,18,0,0,0,0,0,0,0,0,0
passing,37,Andy Dalton,CIN,QB,2013,16,4293,33,20,363,586,183,2,61,0,0,0,0,0,0,0,0,0
passing,38,Brock Purdy,SF,QB,2023,16,4280,31,11,308,444,144,2,39,0,0,0,0,0,0,0,0,0
passing,39,Jeff Garcia,SF,QB,2000,16,4238,31,9,349,550,403,4,71,0,0,0,0,0,0,0,0,0
passing,40,Russell Wilson,SEA,QB,2016,16,4219,21,11,353,546,259,1,72,14,1,2,0,0,0,0,0,0
passing,41,Jon Kitna,DET,QB,2006,16,4208,21,22,372,596,156,2,34,0,0,0,0,0,0,0,0,0
passing,42,Ryan Tannehill,MIA,QB,2015,16,4208,24,12,363,586,141,1,32,9,0,1,0,0,0,0,0,0
passing,43,Brett Favre,MIN,QB,2009,16,4202,33,7,364,532,7,0,9,-2,0,1,0,0,0,0,0,0
passing,44,Lamar Jackson,BAL,QB,2024,17,4172,41,4,316,474,915,4,139,0,0,0,0,0,0,0,0,0
passing,45,Jordan Love,GB,QB,2023,17,4159,32,11,372,579,247,4,50,0,0,0,0,0,0,0,0,0
passing,46,Trevor Lawrence,JAX,QB,2022,17,4113,25,8,387,584,291,5,62,0,0,0,0,0,0,0,0,0
passing,47,C.J. Stroud,HOU,QB,2023,15,4108,23,5,319,499,157,3,39,0,0,1,0,0,0,0,0,0
passing,48,Jake Plummer,DEN,QB,2004,16,4089,27,20,303,522,215,1,60,0,0,0,0,0,0,0,0,0
passing,49,Kerry Collins,NYG,QB,2002,16,4073,19,14,335,545,-3,0,44,0,0,0,0,0,0,0,0,0
passing,50,Josh Freeman,TB,QB,2012,16,4065,27,17,306,558,139,0,39,0,0,0,0,0,0,0,0,0
rushing,1,Adrian Peterson,MIN,RB,2012,16,0,0,0,0,0,2097,12,348,217,1,40,0,0,0,0,0,0
rushing,2,Jamal Lewis,BAL,RB,2003,16,0,0,0,0,0,2063,14,388,205,0,26,0,0,0,0,0,0
rushing,3,Derrick Henry,TEN,RB,2020,16,0,0,0,0,0,2027,17,378,114,0,19,0,0,0,0,0,0
rushing,4,Chris Johnson,TEN,CB,2009,16,0,0,0,0,1,2006,14,358,503,2,50,0,0,0,0,0,0
rushing,5,Saquon Barkley,PHI,RB,2024,16,0,0,0,0,0,2005,13,345,278,2,33,0,0,0,0,0,0
rushing,6,Ricky Williams,IND,RB,2002,17,0,0,0,0,0,1888,16,394,383,2,48,0,0,0,0,0,0
rushing,7,Ahman Green,GB,RB,2003,16,0,0,0,0,0,1883,15,355,367,5,50,0,0,0,0,0,0
rushing,8,Shaun Alexander,SEA,RB,2005,16,0,0,0,0,0,1880,27,370,78,1,15,0,0,0,0,0,0
rushing,9,Tiki Barber,NYG,RB,2005,16,0,0,0,0,1,1860,9,357,530,2,54,0,0,0,0,0,0
rushing,10,DeMarco Murray,DAL,RB,2014,16,0,0,0,0,0,1845,13,392,416,0,57,0,0,0,0,0,0
rushing,11,LaDainian Tomlinson,LAC,RB,2006,16,20,2,0,2,3,1815,28,349,508,3,56,0,0,0,0,0,0
rushing,12,Jonathan Taylor,IND,RB,2021,17,0,0,0,0,0,1811,18,332,360,2,40,0,0,0,0,0,0
rushing,13,Larry Johnson,KC,RB,2006,16,0,0,0,0,1,1789,17,416,410,2,41,0,0,0,0,0,0
rushing,14,Michael Turner,ATL,RB,2008,16,0,0,0,0,0,1699,17,377,41,0,6,0,0,0,0,0,0
rushing,15,Curtis Martin,NYJ,RB,2004,16,0,0,0,0,0,1697,12,371,245,2,41,0,0,0,0,0,0
rushing,16,Frank Gore,SF,RB,2006,16,0,0,0,0,0,1695,8,313,485,1,61,0,0,0,0,0,0
rushing,17,Edgerrin James,IND,RB,2000,16,0,0,0,0,0,1690,13,383,581,5,61,0,0,0,0,0,0
rushing,18,Josh Jacobs,LV,RB,2022,17,0,0,0,0,0,1653,12,340,400,0,53,0,0,0,0,0,0
rushing,19,Deuce McAllister,NO,RB,2003,16,0,0,0,0,2,1641,8,351,516,0,69,0,0,0,0,0,0
rushing,20,Corey Dillon,NE,RB,2004,15,0,0,0,0,0,1635,12,345,103,1,15,0,0,0,0,0,0
rushing,21,Ezekiel Elliott,DAL,RB,2016,15,0,0,0,0,0,1631,15,322,363,1,32,0,0,0,0,0,0
rushing,22,Priest Holmes,KC,RB,2002,14,0,0,0,0,1,1615,21,313,672,3,70,0,0,0,0,0,0
rushing,23,Arian Foster,HOU,RB,2010,16,0,0,0,0,0,1614,16,326,604,2,66,0,0,0,0,0,0
rushing,24,Alfred Morris,WAS,RB,2012,16,0,0,0,0,0,1613,13,335,77,0,11,0,0,0,0,0,0
rushing,25,LeSean McCoy,PHI,RB,2013,16,0,0,0,0,0,1607,9,314,539,2,52,0,0,0,0,0,0
rushing,26,Maurice Jones-Drew,JAX,RB,2011,16,0,0,0,0,0,1606,8,343,374,3,43,0,0,0,0,0,0
rushing,27,Clinton Portis,DEN,RB,2003,13,0,0,0,0,0,1591,14,290,314,0,38,0,0,0,0,0,0
rushing,28,Marshawn Lynch,SEA,RB,2012,16,0,0,0,0,0,1590,11,315,196,1,23,0,0,0,0,0,0
rushing,29,Fred Taylor,JAX,RB,2003,16,0,0,0,0,0,1572,6,345,370,1,48,0,0,0,0,0,0
rushing,30,Dalvin Cook,MIN,RB,2020,14,0,0,0,0,0,1557,16,312,361,1,44,0,0,0,0,0,0
rushing,31,Steven Jackson,LAR,RB,2006,16,0,0,0,0,0,1528,13,346,806,3,90,0,0,0,0,0,0
rushing,32,Nick Chubb,CLE,RB,2022,17,0,0,0,0,0,1525,12,302,239,1,27,0,0,0,0,0,0
rushing,33,DeAngelo Williams,CAR,RB,2008,16,0,0,0,0,0,1518,18,274,121,2,22,0,0,0,0,0,0
rushing,34,Jamaal Charles,KC,RB,2012,16,0,0,0,0,0,1509,5,285,236,1,35,0,0,0,0,0,0
rushing,35,Robert Smith,MIN,RB,2000,16,0,0,0,0,0,1505,7,293,348,3,36,0,0,0,0,0,0
rushing,36,Willie Parker,PIT,RB,2006,16,0,0,0,0,0,1494,13,337,222,3,31,0,0,0,0,0,0
rushing,37,Mike Anderson,DEN,RB,2000,14,0,0,0,0,0,1491,15,295,169,0,23,0,0,0,0,0,0
rushing,38,Christian McCaffrey,SF,RB,2023,16,0,0,0,0,0,1459,14,272,564,7,67,0,0,0,0,0,0
rushing,39,Rudi Johnson,CIN,RB,2005,16,0,0,0,0,0,1458,12,337,90,0,23,0,0,0,0,0,0
rushing,40,Bijan Robinson,ATL,RB,2024,17,0,0,0,0,0,1456,14,304,431,1,61,0,0,0,0,0,0
rushing,41,Eddie George,TEN,RB,2000,16,0,0,0,0,0,1455,14,398,429,2,48,0,0,0,0,0,0
rushing,42,Doug Martin,TB,RB,2012,16,0,0,0,0,0,1454,11,319,472,1,49,0,0,0,0,0,0
rushing,43,Stephen Davis,CAR,RB,2003,14,0,0,0,0,0,1444,8,318,159,0,14,0,0,0,0,0,0
rushing,44,Travis Henry,BUF,RB,2002,16,0,0,0,0,0,1438,13,325,309,1,43,0,0,0,0,0,0
rushing,45,Warrick Dunn,ATL,RB,2005,16,0,0,0,0,0,1416,3,280,220,1,29,0,0,0,0,0,0
rushing,46,Jahmyr Gibbs,DET,RB,2024,17,0,0,0,0,0,1412,16,250,497,3,52,0,0,0,0,0,0
