player_display_name,position,season,games,tackles,assisted_tackles,sacks,tfl,forced_fumbles,def_interceptions,pass_deflections,def_tds
Champ Bailey,DB,2013,5,12,2,0,0,0,0,3,0
London Fletcher,LB,2013,16,63,48,2,4,1,0,2,0
Charles Woodson,DB,2013,16,75,22,2,5,3,1,3,1
Paris Lenon,LB,2013,7,14,6,0,0,0,0,2,0
John Abraham,LB,2013,14,31,6,11.5,14,4,0,3,0
Andre Carter,DL,2013,5,3,1,2,2,0,0,2,0
Ryan Pickett,DL,2013,11,15,4,0,1,0,0,2,0
Shaun Rogers,DL,2013,7,7,2,0,1,0,0,0,0
Justin Smith,DL,2013,15,32,17,6.5,9,1,0,0,0
James Harrison,LB,2013,12,16,14,2,5,0,1,1,0
Ryan Clark,DB,2013,16,61,43,0,1,0,2,4,0
Will Witherspoon,LB,2013,5,11,1,0,1,0,1,1,0
Justin Bannan,DL,2013,1,0,1,0,0,0,0,0,0
Julius Peppers,DL,2013,13,31,14,7,8,2,1,3,1
Dwight Freeney,DL,2013,3,1,1,0.5,0,0,0,0,0
Larry Foote,LB,2013,1,3,5,0,0,0,0,0,0
Brett Keisel,DL,2013,10,20,9,4,3,1,0,1,0
Ed Reed,DB,2013,13,27,11,0,2,0,3,4,0
Quentin Jammer,DB,2013,6,12,1,0,0,0,0,2,0
Quintin Mikell,DB,2013,14,40,18,3,2,2,0,6,0
Chris Clemons,DL,2013,28,72,42,4.5,5,1,1,10,0
Israel Idonije,DL,2013,10,7,4,0.5,3,0,0,0,0
Colin Cole,DL,2013,9,9,6,1,1,0,0,0,0
Cullen Jenkins,DL,2013,15,25,6,5,7,2,0,0,0
Ike Taylor,DB,2013,16,52,11,0,1,0,0,12,0
Asante Samuel,DB,2013,9,28,1,0,0,1,1,4,0
Osi Umenyiora,DL,2013,16,31,16,7.5,6,3,1,3,1
Nick Barnett,LB,2013,7,5,5,0,1,0,0,0,0
Drayton Florence,DB,2013,14,19,7,0,0,0,2,9,1
Cory Redding,DL,2013,15,22,14,4.5,10,0,0,2,0
Terence Newman,DB,2013,13,45,7,0,4,0,2,11,1
Robert Mathis,LB,2013,16,44,15,19.5,15,8,0,1,0
Yeremiah Bell,DB,2013,16,58,15,1,5,0,2,9,0
Kevin Williams,DL,2013,15,17,12,3.5,4,0,1,4,0
Nnamdi Asomugha,DB,2013,3,2,0,0,0,0,0,1,0
Rashean Mathis,DB,2013,15,44,3,0,2,0,0,15,0
Troy Polamalu,DB,2013,16,50,19,2,7,5,2,11,1
Calvin Pace,LB,2013,16,36,16,10,10,2,0,3,0
Charles Tillman,DB,2013,8,32,9,0,2,3,3,6,0
Lance Briggs,LB,2013,9,51,20,3,10,2,0,6,0
Jarret Johnson,LB,2013,10,22,11,3,4,0,0,3,0
